Animal,Countries,Confidence Scores
Lion,"Japan, Sweden, Antarctica","0.8, 0.73, 0.89"
Tiger,"Tanzania, Panama","0.99, 0.7"
Elephant,"Germany, South Africa","0.96, 0.72"
Giraffe,"Morocco, Costa Rica, Colombia","0.99, 0.83, 0.77"
Kangaroo,"Mexico, Ethiopia","0.9, 0.78"
Panda,"Norway, Nepal","0.73, 0.78"
Penguin,"Costa Rica, Switzerland","0.82, 0.96"
Wolf,Norway,0.8
Zebra,"Madagascar, Argentina","0.93, 0.95"
Koala,Australia,0.94
Eagle,Costa Rica,0.86
Shark,"India, Bolivia, China","0.84, 0.83, 0.76"
Dolphin,"Madagascar, Nigeria","0.95, 0.81"
Gorilla,Antarctica,0.74
Cheetah,"USA, Spain","0.88, 0.98"
Jaguar,Thailand,0.94
Lemur,"Switzerland, New Zealand, Nigeria","0.96, 0.9, 0.72"
Ostrich,"Panama, Argentina","0.89, 0.86"
Platypus,"Australia, Vietnam","0.96, 0.92"
Red Panda,Papua New Guinea,0.94
Arctic Fox,"Vietnam, South Korea, Morocco","0.78, 0.91, 0.96"
Brown Bear,"USA, Ecuador, United Kingdom","0.9, 0.71, 0.86"
Chimpanzee,Turkey,0.98
Flamingo,Tanzania,0.7
Hippopotamus,Papua New Guinea,0.71
Iguana,"Norway, Brazil","0.99, 0.91"
Komodo Dragon,"Egypt, Mexico, Panama","0.88, 0.96, 0.8"
Lynx,"Morocco, Colombia","0.88, 0.78"
Meerkat,"South Korea, Kenya","0.81, 0.76"
Narwhal,Costa Rica,0.77
Okapi,"Morocco, Panama, Tanzania","0.77, 0.84, 0.72"
Polar Bear,Ecuador,0.91
Quokka,"Madagascar, Indonesia, Japan","0.85, 0.87, 0.81"
Rhinoceros,Madagascar,0.78
Snow Leopard,"Chile, Nigeria, Spain","0.76, 0.72, 0.74"
Tasmanian Devil,"Iceland, Mexico","0.83, 0.72"
Utter,"USA, Tanzania, Sweden","0.72, 0.98, 0.89"
Vulture,"USA, Egypt","0.83, 0.97"
Walrus,"Chile, Thailand, Tanzania","0.81, 0.87, 0.83"
X-ray Tetra,"India, Madagascar, Switzerland","0.91, 0.92, 0.87"
Yak,"South Africa, India, Argentina","0.93, 0.86, 0.82"
Zebu,"Ethiopia, Sweden, Morocco","0.88, 0.93, 0.92"
Armadillo,Papua New Guinea,0.92
Bison,"Bolivia, Panama, Colombia","0.95, 0.78, 0.9"
Capybara,"Peru, South Africa","0.77, 0.97"
Dingo,"Canada, Paraguay, Egypt","0.73, 0.71, 0.85"
Echidna,"Papua New Guinea, Morocco, Tanzania","0.98, 0.99, 0.98"
Falcon,"Uruguay, Thailand","0.76, 0.78"
Grizzly Bear,Norway,0.88
Honey Badger,South Africa,0.82
