Animal,Countries,Confidence Scores
Lion,"Australia, Norway","0.97, 0.94"
Tiger,"South Korea, Madagascar, Antarctica","0.84, 0.86, 0.86"
Elephant,"Brazil, Thailand, Mongolia","0.96, 0.94, 0.88"
Giraffe,"Norway, Argentina","0.78, 0.87"
Kangaroo,Fiji,0.79
Panda,"Uruguay, Madagascar, Mongolia","0.83, 0.88, 0.72"
Penguin,Ethiopia,0.79
Wolf,"Fiji, Ecuador, Germany","0.91, 0.81, 0.94"
Zebra,Canada,0.97
Koala,Brazil,0.82
Eagle,"Thailand, Mexico, South Africa","0.76, 0.87, 0.91"
Shark,"Indonesia, Switzerland, Greenland","0.73, 0.81, 0.7"
Dolphin,"Iceland, Argentina","0.77, 0.79"
Gorilla,"Uruguay, South Korea, Japan","0.94, 0.97, 0.71"
Cheetah,Papua New Guinea,0.72
Jaguar,"Germany, United Kingdom, Norway","0.86, 0.84, 0.87"
Lemur,"Colombia, China, Kenya","0.88, 0.74, 0.96"
Ostrich,Costa Rica,0.77
Platypus,"Mongolia, USA","0.88, 0.84"
Red Panda,"Nigeria, South Korea","0.79, 0.93"
Arctic Fox,"Papua New Guinea, India","0.91, 0.94"
Brown Bear,"Norway, Paraguay","0.75, 0.93"
Chimpanzee,Costa Rica,0.8
Flamingo,"Canada, Nepal","0.9, 0.84"
Hippopotamus,Russia,0.82
Iguana,Australia,0.93
Komodo Dragon,Sweden,0.94
Lynx,"United Kingdom, Ethiopia, Vietnam","0.98, 0.95, 0.82"
Meerkat,South Korea,0.78
Narwhal,"Kazakhstan, Peru","0.98, 0.71"
Okapi,"Turkey, Indonesia","0.89, 0.87"
Polar Bear,"Greenland, Nepal","0.93, 0.96"
Quokka,"Greece, Indonesia, South Korea","0.92, 0.7, 0.74"
Rhinoceros,"Bolivia, Antarctica","0.78, 0.77"
Snow Leopard,Vietnam,0.71
Tasmanian Devil,"Fiji, Chile","0.93, 0.87"
Utter,"Ecuador, Brazil, Norway","0.74, 0.73, 0.88"
Vulture,"Kazakhstan, Nepal, Nigeria","0.77, 0.84, 0.72"
Walrus,"Paraguay, Fiji, Greenland","0.83, 0.91, 0.99"
X-ray Tetra,"Papua New Guinea, South Korea, Turkey","0.85, 0.88, 0.73"
Yak,"Argentina, Colombia, Antarctica","0.95, 0.96, 0.74"
Zebu,Spain,0.72
Armadillo,"China, Fiji, Switzerland","0.97, 0.75, 0.74"
Bison,"Mongolia, France","0.81, 0.94"
Capybara,Canada,0.99
Dingo,Spain,0.98
Echidna,"Kazakhstan, Turkey","0.97, 0.91"
Falcon,"Colombia, Uruguay","0.73, 0.73"
Grizzly Bear,"France, Panama","0.84, 0.81"
Honey Badger,"South Korea, Turkey, Argentina","0.72, 0.94, 0.97"
